A-01,A-02,A-03,A-04,A-05,A-06,A-07,A-08,A-09,A-10,A-11,A-12,A-13,A-14,A-15,A-16,A-17,A-18,A-19,A-20,A-21,A-22,A-23,A-24,A-25,A-26,A-27,A-28,A-29,A-30,A-31,A-32,A-33,A-34,A-35,A-36,A-37,A-38,A-39,A-40,A-41,A-42,A-43,A-44,A-45,A-46,A-47,A-48,A-49,A-50,A-51,A-52,A-53,A-54,A-55,A-56,A-57,A-58,A-59,A-60,A-61,A-62,A-63,B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,5,95.09,-2,0.67,0.75,-0.14,0.11,0.77,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,0.0003,,,,0.00012,,,,,,,,,,,,,,,,6,95.23,-1.58,0.56,0.89,0.28,-0.01,0.93,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,0.0003,,,,0.0001,,,,,,,,,,,,,,,,7,94.46,-1.87,0.46,0.12,-0.01,-0.1,0.16,qualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,0.0008,,,,0.0006,,,,,,,,,,,,,,,,3,93.88,-1.43,-2.08,-0.93,0.6,-2.13,2.4,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,0.002,,,,0.0002,,,,,,,,,,,,,,,,4,94.7,-3.77,-0.71,-0.12,-1.75,-0.77,1.91,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,0.0012,,,,0.0001,,,,,,,,,,,,,,,,5,95.19,-2.59,-0.5,0.37,-0.57,-0.56,0.88,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,9,,,,,,,,,,,,,,0.001,,,,0.0001,,,,,,,,,,,,,,,,6,95.42,-2.32,0.15,0.61,-0.3,0.1,0.68,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,9,,,,,,,,,,,,,,0.0007,,,,0.0004,,,,,,,,,,,,,,,,7,94.77,-2.34,-0.32,-0.04,-0.31,-0.37,0.49,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,0.0007,,,,0.0008,,,,,,,,,,,,,,,,8,94.44,-2.42,-1.22,-0.38,-0.39,-1.28,1.39,unqualified
500,,,,,,,,,,1000,,,7,7,23,2,200,,,,24,10,,10,,,25,,,,,,,,,22,,,,,,,,,,,200,,400,,,300,,,,3,,,0.5,,,,,50,,,,0.09,,,,,,,,,,,,,,,,,,,0.0192,,0.00186,,,,,,,,,,1,92.21,-0.79,-2.39,-0.26,0.52,-0.5,0.76,unqualified
500,,,,,,,,,,1000,,,7,7,23,2,200,,,,24,10,,10,,,25,,,,,,,,,22,,,,,,,,,,,200,,400,,,300,,,,3,,,0.5,,,,,50,,,,0,,,,,,,,,,,,,,,,,,,0.018,,0.0006,,,,,,,,,,2,92.55,-0.76,-1.51,0.09,0.55,0.37,0.67,unqualified
500,,,,,,,,,,1000,,,7,7,23,2,200,,,,24,10,,10,,,25,,,,,,,,,22,,,,,,,,,,,200,,400,,,300,,,,3,,,0.5,,,,,50,,,,0.15,,,,,,,,,,,,,,,,,,,0.015,,0,,,,,,,,,,3,93.12,-0.98,-1.69,0.66,0.32,0.2,0.76,unqualified
500,,,,,,,,,,1000,,,7,7,23,2,200,,,,24,10,,10,,,25,,,,,,,,,22,,,,,,,,,,,200,,400,,,300,,,,3,,,0.5,,,,,50,,,,0.055,,,,,,,,,,,,,,,,,,,0.0186,,0,,,,,,,,,,4,92.65,-1.1,-1.83,0.19,0.2,0.05,0.28,qualified
500,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,25,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,10,,,,,,,,,,1.125,,0.035,,,,,,,,,,,,,,,,,,,,0.002,,,,2,82.03,2.76,15.93,0.72,-0.88,0.16,1.15,unqualified
500,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,25,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,10,,,,,,,,,,1.13,,0.045,,,,,,,,,,,,,,,,,,,,0.006,,,,3,81.5,3.4,16.32,0.19,-0.24,0.55,0.63,unqualified
500,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,25,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,10,,,,,,,,,,0.9,,0.047,,,,,,,,,,,,,,,,,,,,0.006,,,,4,81.79,3.24,14.23,0.48,-0.4,-1.55,1.67,unqualified
500,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,25,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,10,,,,,,,,,,1.13,,0.051,,,,,,,,,,,,,,,,,,,,0.0063,,,,5,80.82,3.5,15.7,-0.49,-0.13,-0.07,0.51,unqualified
500,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,25,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,10,,,,,,,,,,1.1,,0.0525,,,,,,,,,,,,,,,,,,,,0.0062,,,,6,81.08,3.65,15.74,-0.23,0.01,-0.03,0.23,qualified
300,,,,,,2,,,,,300,,3,,14,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,71,,,1,3,,10,,,,,,,,,1.1,,0.053,,,,,,,,,,,,,,,,,,,,0.006,,,,1,84.95,2.94,13.63,3.65,-0.69,-2.09,4.27,unqualified
300,,,,,,2,,,,,300,,3,,14,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,71,,,1,3,,10,,,,,,,,,1.5,,0.064,,,,,,,,,,,,,,,,,,,,0.007,,,,2,83.62,3.5,15.54,2.32,-0.14,-0.19,2.33,unqualified
300,,,,,,2,,,,,300,,3,,14,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,71,,,1,3,,10,,,,,,,,,1.82,,0.078,,,,,,,,,,,,,,,,,,,,0.0085,,,,3,82.56,3.87,16.47,1.26,0.24,0.75,1.48,unqualified
300,,,,,,2,,,,,300,,3,,14,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,71,,,1,3,,10,,,,,,,,,2.04,,0.09,,,,,,,,,,,,,,,,,,,,0.0102,,,,4,81.73,3.95,16.59,0.43,0.32,0.87,1.02,unqualified
300,,,,,,2,,,,,300,,3,,14,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,71,,,1,3,,10,,,,,,,,,1.95,,0.087,,,,,,,,,,,,,,,,,,,,0.0112,,,,5,81.47,3.55,15.79,0.17,-0.09,0.07,0.21,qualified
,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,35,,,62,,,,,,,,,,500,,,100,,200,,,300,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,0.3,,,2.4,,,,,,,,,,,,1.2,,,,1,30.45,-1.32,-5.66,-0.47,0.12,0.31,0.58,unqualified
,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,35,,,62,,,,,,,,,,500,,,100,,200,,,300,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,0.3,,,2.4,,,,,,,,,,,,1.1,,,,2,31.06,-1.49,-6.34,0.13,-0.05,-0.37,0.4,warnings
,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,35,,,62,,,,,,,,,,500,,,100,,200,,,300,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,0.3,,,2.25,,,,,,,,,,,,1.14,,,,3,30.45,-1.3,-5.74,-0.48,0.13,0.23,0.55,unqualified
,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,35,,,62,,,,,,,,,,500,,,100,,200,,,300,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,0.3,,,2.25,,,,,,,,,,,,1.066,,,,4,30.75,-1.45,-6.18,-0.18,-0.01,-0.21,0.27,qualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.1,,,,,,,0,,,,,0.18,,,,1,32.15,-1.72,-11.07,2.47,-0.59,-0.66,2.62,unqualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.1,,,,,,,0,,,,,0.234,,,,2,31.32,-1.6,-9.18,1.64,-0.47,1.23,2.1,unqualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.2,,,,,,,0.3,,,,,0.27,,,,3,30.32,-0.58,-9.43,0.64,0.56,0.98,1.3,unqualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.4,,,,,,,0.2,,,,,0.245,,,,4,30.05,-0.57,-9.4,0.37,0.56,1.01,1.21,unqualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.43,,,,,,,0.174,,,,,0.213,,,,5,30.4,-0.64,-10.56,0.72,0.5,-0.15,0.88,unqualified
,,,2,,,,,0.5,,,,,,,,,,,,,,,,,,,,,40,,,58,,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.26,,,,,,,0.087,,,,,0.2235,,,,6,30.52,-1.04,-9.76,0.83,0.1,0.65,1.06,unqualified
,,2,,,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,34,,32,32,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.118,,,,,,,0.036,,,,,0.5,,,,1,32.25,-0.34,-2.97,-0.1,0.38,0.68,0.79,unqualified
,,2,,,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,34,,32,32,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.036,,,,,0.48,,,,2,31.73,-0.57,-3.19,-0.62,0.15,0.46,0.79,unqualified
,,2,,,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,34,,32,32,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,0.18,,,,,,,0,,,,,0.46,,,,3,32.65,-0.68,-3.48,0.3,0.04,0.17,0.35,qualified
,,,,,,,2,,,,,2000,,,,,,,10,36,,,,,,,,,,,,,,,,,,,,,,,,300,,,100,,200,,,,,,,,50,,,,,,,8,,,,,,,,,4.2,,0.5,,,,,,,,,,,,,,,,,,,,0.155,,,,1,57.89,3.45,10.64,-2.49,0.2,-1.13,2.74,unqualified
,,,,,,,2,,,,,2000,,,,,,,10,36,,,,,,,,,,,,,,,,,,,,,,,,300,,,100,,200,,,,,,,,50,,,,,,,10,,,,,,,,,5,,0.4,,,,,,,,,,,,,,,,,,,,0.15,,,,2,60.3,2.74,11.53,-0.09,-0.51,-0.24,0.57,unqualified
,,,,,,,2,,,,,2000,,,,,,,10,36,,,,,,,,,,,,,,,,,,,,,,,,300,,,100,,200,,,,,,,,50,,,,,,,10,,,,,,,,,5,,0.52,,,,,,,,,,,,,,,,,,,,0.16,,,,3,61.01,3.83,12.36,0.62,0.58,0.59,1.03,unqualified
,,,,,,,2,,,,,2000,,,,,,,10,36,,,,,,,,,,,,,,,,,,,,,,,,300,,,100,,200,,,,,,,,50,,,,,,,10,,,,,,,,,4.85,,0.46,,,,,,,,,,,,,,,,,,,,0.145,,,,4,60.4,3.17,11.61,0.02,-0.08,-0.16,0.18,qualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.1,,,,,0.49,,,,1,30.2,4.52,-5.06,-0.31,0.15,-0.72,0.79,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.09,,,,,0.54,,,,2,30.16,4.17,-4.76,-0.35,-0.21,-0.42,0.59,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.64,,,,,,,,,,,0.23,,,,,,,,,,,,,1.4,0.095,,,,,0.515,,,,3,30.08,4.41,-5,-0.43,0.04,-0.67,0.79,qualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.325,,,,,,,,,,,,,0.5,0,,,,,0.495,,,,4,30.44,4.35,-4.25,-0.07,-0.03,0.09,0.117898261,qualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.48,,,,,,,,,,,0.15,,,,,,,,,,,,,2.39,0.2,,,,,0.49,,,,5,28.75,4.66,-4.67,-1.76,0.28,-0.33,1.812429309,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.572,,,,,,,,,,,0.24,,,,,,,,,,,,,1.9,0,,,,,0.5,,,,6,29.45,5.16,-4.51,-1.06,0.78,-0.17,1.326989073,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,0.575,,,,,,,,,,,0.25,,,,,,,,,,,,,2,0,,,,,0.49,,,,7,29.01,5.27,-5.13,-1.5,0.89,-0.79,1.914732357,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,12,,,,,,,0.195,,,,1,54.85,5.42,-2.3,1.48,-1.2,-1.92,2.7,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,16,,,,,,,,,,1.3,,,,,,,,,,,,,10,,,,,,,0.18,,,,2,54.7,6.45,-0.94,1.33,-0.16,-0.56,1.45,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,16,,,,,,,,,,1.35,,,,,,,,,,,,,10,,,,,,,0.18,,,,3,54.51,6.75,-0.66,1.14,0.13,-0.27,1.18,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,16,,,,,,,,,,1.431,,,,,,,,,,,,,10.6,,,,,,,0.1908,,,,4,55.02,6.7,-0.71,1.65,0.09,-0.33,1.69,unqualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.06,,,,1,71.43,0.87,2.53,2.86,-0.65,0.79,3.03,unqualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,0.08,,,,2,67.57,1.76,2.36,-1,0.24,0.61,1.2,unqualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,0.074,,,,3,67.92,1.36,1.93,-0.65,-0.16,0.19,0.7,unqualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,0.068,,,,4,68.95,1.48,2.33,0.38,-0.04,0.58,0.7,unqualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,0.07,,,,5,68.85,1.51,1.7,0.28,0,-0.04,0.28,qualified
,,,,,,,,0.5,,1000,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,30,,,,,300,,200,,,,,,,,,,,,,,,,10,,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,0.073,,,,6,69.05,1.45,1.78,0.48,-0.07,0.04,0.48,warnings
,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,28,45,,,400,,,,100,,200,,,300,,,,,,,,,,,,,10,,,,,,,,,0.75,,0.068,,,,,,,,,,,,,,,,,,,,0.0255,,,,1,75.95,1.37,7.43,-1.52,-0.03,0.48,1.59,unqualified
,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,28,45,,,400,,,,100,,200,,,300,,,,,,,,,,,,,10,,,,,,,,,0.57,,0.0591,,,,,,,,,,,,,,,,,,,,0.022,,,,2,77.04,1.19,6.51,-0.44,-0.21,-0.44,0.65,unqualified
,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,28,45,,,400,,,,100,,200,,,300,,,,,,,,,,,,,10,,,,,,,,,0.572,,0.05956,,,,,,,,,,,,,,,,,,,,0.02,,,,3,77.68,1.42,6.78,0.21,0.02,-0.17,0.27,qualified
,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,28,45,,,400,,,,100,,200,,,300,,,,,,,,,,,,,10,,,,,,,,,0.575,,0.0587,,,,,,,,,,,,,,,,,,,,0.02,,,,4,77.47,1.44,6.94,0,0.04,-0.01,0.04,qualified
,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,34,34,,,600,,,,100,,100,,,300,,,,,,,,,,,,,,8.5,,,,,,,,0.67,,0.12,,,,,,,,,,,,,,,,,,,,0.03,,,,1,73.11,2.44,5.76,1.56,-0.14,-0.26,1.59,unqualified
,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,34,34,,,600,,,,100,,100,,,300,,,,,,,,,,,,,,7.8,,,,,,,,0.72,,0.12,,,,,,,,,,,,,,,,,,,,0.03,,,,2,72.4,2.55,6.23,0.84,-0.03,0.21,0.87,unqualified
,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,34,34,,,600,,,,100,,100,,,300,,,,,,,,,,,,,,7.5,,,,,,,,0.75,,0.117,,,,,,,,,,,,,,,,,,,,0.03,,,,3,71.76,2.53,6.78,0.21,-0.05,0.76,0.79,unqualified
,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,34,34,,,600,,,,100,,100,,,300,,,,,,,,,,,,,,7.2,,,,,,,,0.78,,0.114,,,,,,,,,,,,,,,,,,,,0.03,,,,4,72.05,2.58,6.55,0.5,-0.01,0.52,0.72,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,4,,,,,,,,,1.7,,0.34,,,,,,,,,,,,,,,,,,,,0.637,,,,1,38.79,0.53,-0.1,1.15,0.11,0.24,1.17,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,4,,,,,,,,,1.68,,0.34,,,,,,,,,,,,,,,,,,,,0.7,,,,2,37.08,0.35,-0.5,-0.56,-0.07,-0.16,0.59,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,4,,,,,,,,,1.68,,0.34,,,,,,,,,,,,,,,,,,,,0.648,,,,3,37.57,0.43,-0.47,-0.07,0.01,-0.13,0.15,qualified
,,,2.5,,,,,0.5,3,,,,,,,,,,,,,,,,,,,,25,,,36,36,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,10,,,,,,,,0.4,,0.01,,,,,,,,,,,,,,,,,,,,0.017,,,,1,80.12,-0.43,5.26,-0.98,-0.19,1.49,1.8,unqualified
,,,2.5,,,,,0.5,3,,,,,,,,,,,,,,,,,,,,25,,,36,36,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,10,,,,,,,,0.2,,0.027,,,,,,,,,,,,,,,,,,,,0.0148,,,,2,81.84,-0.45,2.77,0.74,-0.21,-0.99,1.25,unqualified
,,,2.5,,,,,0.5,3,,,,,,,,,,,,,,,,,,,,25,,,36,36,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,10,,,,,,,,0.258,,0.0126,,,,,,,,,,,,,,,,,,,,0.0153,,,,3,81.31,-0.28,3.55,0.2,-0.04,-0.22,0.3,qualified
,,,2.5,,,,,0.5,3,,,,,,,,,,,,,,,,,,,,25,,,36,36,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,,10,,,,,,,,0.266,,0.0143,,,,,,,,,,,,,,,,,,,,0.0153,,,,4,81.03,-0.27,3.77,-0.07,-0.03,0,0.07,qualified
,,,,,,3,,,3,,,,,,,,,,,,,18,,,,,,,,,,22,45,,,,12,,,,,,,,,100,,100,,,,300,,,500,,,,,,,,,10,,,,,,,,,1,,0.06,,,,,,,,,,,,,,,,,,,,0.1,,,,1,64.6,0.02,3.48,1.69,0.24,0.17,1.72,unqualified
